cust_id,lookalikes
C0008,"[('C0004', 0.9998038790281316), ('C0018', 0.9997463909490716), ('C0008', 0.9996956694759069)]"
C0017,"[('C0003', 0.9668910534614354), ('C0004', 0.9137978412460417), ('C0004', 0.9087381484777031)]"
C0004,"[('C0001', 0.9998115185202499), ('C0016', 0.9995088445132512), ('C0017', 0.9990440265519784)]"
C0010,"[('C0013', 0.9894175984238816), ('C0012', 0.9888388800310632), ('C0011', 0.988336647854218)]"
C0018,"[('C0008', 0.9995937137796373), ('C0016', 0.9995126175703789), ('C0005', 0.9987831107440596)]"
C0012,"[('C0008', 0.9991719865095327), ('C0013', 0.9990448207424972), ('C0001', 0.9989930583566885)]"
C0002,"[('C0009', 0.999770654493417), ('C0017', 0.9997414919753481), ('C0019', 0.9996136903634867)]"
C0009,"[('C0017', 0.9999889834021353), ('C0002', 0.999770654493417), ('C0019', 0.9997575319447677)]"
C0001,"[('C0004', 0.9989148493427491), ('C0001', 0.9985393655730174), ('C0018', 0.9984991385659111)]"
C0019,"[('C0001', 0.9970885002304293), ('C0001', 0.9927070926999542), ('C0013', 0.9916992352509263)]"
C0006,"[('C0013', 0.9997463515384728), ('C0003', 0.9902681583293167), ('C0008', 0.985120045170415)]"
C0014,"[('C0018', 0.9997232000692783), ('C0012', 0.9992326152555278), ('C0020', 0.9984764594114662)]"
C0013,"[('C0008', 0.9996299725068141), ('C0012', 0.9990448207424972), ('C0017', 0.9974309158635132)]"
C0007,"[('C0009', 0.9985066717928697), ('C0017', 0.9976389964067439), ('C0017', 0.9976329741934786)]"
C0011,"[('C0001', 0.9983720944365146), ('C0015', 0.9979601867519718), ('C0020', 0.9978919508332357)]"
C0005,"[('C0013', 0.9944116354971568), ('C0002', 0.9913247858199498), ('C0019', 0.9907013225974753)]"
C0003,"[('C0008', 0.9609706634711561), ('C0004', 0.9497756478992644), ('C0012', 0.9480806955442594)]"
C0016,"[('C0016', 0.997528554279192), ('C0001', 0.9973905126750922), ('C0004', 0.996834746512349)]"
C0015,"[('C0008', 0.99858051049305), ('C0011', 0.9985781397405976), ('C0010', 0.9975289860009355)]"
C0020,"[('C0017', 0.9998936834414035), ('C0001', 0.9998486361448644), ('C0010', 0.999788179778349)]"
